Name,X,Y,BlueF,GreenF,RedF,Size,RadialVelocity
BackDG0149,-22.8574,4.9707,9.424e-18,8.843e-18,3.805e-18,96.3847,-724.25
BackDG0150,-22.8709,4.9186,1.484e-17,1.305e-17,6.146e-18,59.9871,-724.02
BackDG0151,-22.7421,5.0521,1.091e-17,8.574e-18,4.314e-18,70.8742,-724.03
BackDG0152,-22.7671,5.0184,1.427e-17,1.227e-17,6.186e-18,69.457,-724.47
BackDG0153,-22.6990,4.9852,1.772e-17,1.419e-17,6.087e-18,59.6007,-724.43
BackDG0154,-22.7944,4.7968,1.533e-17,1.289e-17,5.579e-18,53.2228,-724.18
BackDG0155,-22.8820,5.0206,1.477e-17,1.316e-17,5.419e-18,60.5433,-724.29
BackDG0156,11.4106,-20.9477,7.353e-18,6.538e-18,3.005e-18,51.8188,-893.43
BackDG0196,15.5839,-4.2458,2.543e-17,2.279e-17,1.017e-17,184.1213,-411.28
BackDG0197,15.5664,-4.1306,3.616e-17,3.150e-17,1.385e-17,83.1712,-411.09
BackDG0198,15.7396,-4.0185,3.796e-17,3.429e-17,1.439e-17,86.3252,-411.09
BackDG0199,15.7762,-4.3408,4.040e-17,3.488e-17,1.491e-17,84.3215,-411.56
BackDG0200,15.6841,-4.0736,3.902e-17,3.225e-17,1.354e-17,80.6747,-411.51
BackDG0201,15.8196,-4.3559,4.196e-17,3.127e-17,1.419e-17,91.5385,-411.45
BackDG0202,15.3367,-4.1637,4.780e-17,3.679e-17,1.628e-17,82.4813,-411.31
BackDG0203,11.1243,-26.7797,1.250e-17,9.965e-18,4.242e-18,86.2231,-695.42
BackDG0204,11.0267,-26.7856,1.605e-17,1.388e-17,6.637e-18,55.8476,-695.19
BackDG0205,11.0830,-26.7643,1.943e-17,1.672e-17,6.580e-18,62.7172,-695.09
BackDG0206,11.1193,-26.6651,1.693e-17,1.643e-17,6.722e-18,45.381,-695.1
BackDG0207,11.1484,-26.7129,1.794e-17,1.544e-17,6.246e-18,56.5015,-695.12
BackDG0292,-28.7660,35.2402,9.794e-17,7.527e-17,2.558e-17,109.9103,-452.8
BackDG0293,-28.5590,35.2623,3.520e-17,2.754e-17,1.287e-17,77.9435,-452.61
BackDG0294,-28.4124,35.2474,3.507e-17,2.947e-17,1.193e-17,79.5879,-452.73
BackDG0295,-28.7163,35.3011,2.184e-17,2.010e-17,8.728e-18,148.1986,-453.04
BackDG0296,-28.7199,35.3241,4.064e-17,3.083e-17,1.464e-17,87.9934,-452.82
BackDG0297,-28.5692,34.9511,3.973e-17,2.962e-17,1.605e-17,87.2964,-452.67
BackDG0298,-29.1368,35.0650,3.565e-17,3.050e-17,1.348e-17,114.5629,-452.78
BackDG0299,-28.8085,35.3482,3.767e-17,3.209e-17,1.522e-17,92.7507,-452.74
BackDG0300,-28.5102,35.4471,4.064e-17,3.259e-17,1.361e-17,104.0608,-452.58
BackDG0301,-28.9219,35.4061,3.465e-17,2.798e-17,1.197e-17,76.0521,-452.5
BackDG0302,6.5103,-24.4446,3.919e-17,2.828e-17,1.021e-17,118.8756,-771.17
BackDG0303,6.5492,-24.7039,8.392e-18,7.049e-18,3.199e-18,72.5264,-771.39
BackDG0304,6.4049,-24.1409,1.218e-17,9.819e-18,4.744e-18,47.3527,-771.51
BackDG0305,6.6868,-24.4424,1.326e-17,1.145e-17,4.520e-18,49.7099,-771.07
BackDG0306,6.6033,-24.1317,1.960e-17,1.676e-17,6.777e-18,45.8108,-771.11
BackDG0307,6.5169,-24.9022,1.221e-17,1.168e-17,4.879e-18,47.3388,-771.44
BackDG0308,6.8170,-24.2067,1.232e-17,1.086e-17,5.081e-18,49.274,-771.38
BackDG0309,6.7417,-24.3013,1.591e-17,1.043e-17,5.382e-18,60.9124,-771.59
BackDG0310,6.7701,-24.3822,1.206e-17,1.037e-17,4.868e-18,46.9965,-771.05
BackDG0311,6.6726,-24.0578,1.282e-17,1.105e-17,4.541e-18,45.8182,-771.43
BackDG0312,6.6433,-24.7539,1.978e-17,1.533e-17,6.338e-18,52.5364,-771.2
BackDG0313,6.5912,-24.5100,1.061e-17,7.935e-18,3.835e-18,124.8925,-771.63
BackDG0314,6.8099,-24.6423,1.378e-17,1.081e-17,5.057e-18,52.0162,-771.58
BackDG0315,6.3690,-24.6291,1.361e-17,1.182e-17,5.266e-18,62.6689,-771.34
BackDG0316,6.3150,-24.5999,8.685e-18,7.454e-18,3.360e-18,80.0566,-771.52
BackDG0317,6.5934,-24.0261,8.548e-18,8.045e-18,3.808e-18,52.2089,-771.39
BackDG0318,6.6074,-24.4109,9.661e-18,7.261e-18,3.568e-18,118.8142,-771.49
BackDG0319,6.2411,-24.2076,1.371e-17,1.140e-17,5.898e-18,53.2503,-771.36
BackDG0320,6.5752,-24.5312,9.168e-18,7.637e-18,3.426e-18,76.3038,-771.37
BackDG0321,6.6541,-24.7511,8.974e-18,7.744e-18,3.298e-18,78.4058,-771.32
BackDG0322,6.6223,-24.3923,1.329e-17,9.792e-18,5.256e-18,61.0592,-771.17
BackDG0323,6.5372,-24.2319,1.394e-17,1.130e-17,5.108e-18,62.2709,-771.14
BackDG0324,6.8051,-24.3213,1.486e-17,1.091e-17,5.665e-18,68.9655,-771.46
