Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?
BackS023178,-32.9427,-19.6452,3.208e-18,2.674e-18,1.341e-18,0.0,-46.1,0
BackS023186,-32.9111,-19.6839,1.609e-20,2.177e-20,2.989e-20,0.0,-45.97,0
BackS023188,-32.8145,-19.6028,1.464e-20,1.965e-20,2.561e-20,-0.001,-45.77,0
BackS023194,-32.9335,-19.7323,2.092e-20,2.776e-20,3.521e-20,0.0,-46.83,0
BackS023195,-32.9309,-19.6873,1.083e-19,1.180e-19,9.911e-20,0.001,-46.61,0
BackS023196,-32.8696,-19.6101,1.094e-18,1.042e-18,6.640e-19,0.001,-45.76,0
BackS023202,-32.9505,-19.5528,6.642e-19,1.193e-18,2.886e-18,-0.0,-46.02,0
BackS023203,-32.9281,-19.6879,2.937e-19,2.947e-19,2.182e-19,-0.0,-46.18,0
BackS023205,-33.0172,-19.7184,2.616e-18,4.468e-18,9.905e-18,-0.0,-46.88,0
BackS023208,-32.9733,-19.6763,3.960e-20,4.677e-20,4.712e-20,-0.0,-46.52,0
BackS023221,-32.9903,-19.7393,4.995e-14,3.414e-14,1.174e-14,-0.0,-47.01,0
BackS023223,-32.9012,-19.6735,7.557e-20,8.429e-20,7.502e-20,-0.0,-45.87,0
BackS023228,-32.9407,-19.6920,5.636e-20,6.574e-20,6.585e-20,-0.0,-46.91,0
BackS023234,-32.8323,-19.6916,2.085e-20,2.668e-20,3.189e-20,0.001,-45.97,0
BackS023235,-32.8012,-19.6096,4.693e-19,4.503e-19,3.045e-19,-0.0,-45.64,0
BackS023239,-32.6925,-19.7638,1.893e-18,3.370e-18,8.083e-18,0.0,-46.16,0
BackS023248,-32.9020,-19.6861,1.092e-19,1.191e-19,1.021e-19,-0.001,-45.98,0
BackS023255,-32.9282,-19.6832,6.752e-14,4.947e-14,1.923e-14,-0.0,-46.14,0
BackS023256,-32.7840,-19.8024,3.678e-19,3.700e-19,2.612e-19,0.001,-46.28,0
BackS023258,-32.9204,-19.6842,8.651e-20,9.910e-20,9.403e-20,-0.001,-45.91,0
BackS023264,-32.9350,-19.6838,1.596e-20,1.939e-20,2.133e-20,-0.001,-46.68,0
BackS023265,-32.8414,-19.6963,1.166e-18,1.035e-18,5.824e-19,0.0,-46.13,0
BackS023266,-32.9286,-19.6835,1.472e-20,1.911e-20,2.371e-20,-0.002,-46.1,0
BackS023268,-32.9813,-19.7142,2.784e-19,2.639e-19,1.669e-19,-0.001,-46.98,0
BackS023269,-32.9678,-19.7259,8.534e-20,9.397e-20,8.235e-20,0.0,-47.07,0
BackS023270,-32.9156,-19.7125,4.390e-20,5.749e-20,7.010e-20,-0.0,-46.48,0
BackS023275,-32.9503,-19.7057,1.233e-20,1.689e-20,2.299e-20,-0.0,-46.93,0
BackS023276,-32.9257,-19.6888,3.145e-18,2.663e-18,1.338e-18,0.001,-46.1,0
BackS023281,-32.9077,-19.7128,4.498e-14,3.134e-14,1.101e-14,0.0,-46.37,0
BackS023284,-32.6361,-19.5812,9.143e-20,1.008e-19,9.093e-20,-0.0,-45.88,0
BackS023287,-32.8677,-19.7094,5.680e-20,6.617e-20,6.711e-20,-0.0,-46.18,0
BackS023288,-32.9047,-19.6795,8.683e-19,7.849e-19,4.773e-19,0.001,-45.91,0
BackS023293,-32.9162,-19.6264,1.480e-20,2.040e-20,2.710e-20,-0.0,-45.88,0
BackS023294,-32.9385,-19.7150,8.789e-20,1.002e-19,9.297e-20,-0.001,-46.82,0
BackS023295,-32.9651,-19.6639,1.999e-19,2.066e-19,1.627e-19,-0.0,-46.35,0
BackS023297,-32.9095,-19.6779,1.300e-18,2.122e-18,4.120e-18,-0.0,-45.88,0
BackS023300,-32.9323,-19.6874,3.030e-19,3.095e-19,2.314e-19,-0.001,-46.52,0
BackS023301,-32.9305,-19.6932,3.582e-19,3.389e-19,2.263e-19,0.0,-46.91,0
BackS023303,-32.8638,-19.7043,3.597e-20,4.398e-20,4.947e-20,0.001,-46.19,0
BackS023316,-32.9031,-19.6894,2.248e-18,2.028e-18,1.166e-18,0.0,-46.09,0
BackS023321,-32.9466,-19.6938,1.825e-19,1.915e-19,1.551e-19,0.0,-46.8,0
BackS023323,-33.0054,-19.7976,2.861e-19,2.844e-19,2.034e-19,-0.001,-46.95,0
BackS023325,-32.9859,-19.7332,1.038e-18,1.786e-18,4.034e-18,-0.0,-46.99,0
BackS023327,-32.8951,-19.7277,4.596e-20,5.713e-20,6.175e-20,0.0,-46.41,0
BackS023336,-32.9656,-19.6855,2.764e-19,2.651e-19,1.839e-19,0.001,-46.72,0
BackS023338,-33.0045,-19.7941,1.866e-19,1.937e-19,1.460e-19,0.0,-47.03,0
BackS023343,-32.7514,-19.6493,1.848e-18,1.615e-18,9.184e-19,-0.0,-45.95,0
BackS023344,-32.8723,-19.7601,2.825e-20,3.591e-20,4.462e-20,-0.0,-46.5,0
BackS023347,-32.8554,-19.6290,2.876e-18,2.458e-18,1.265e-18,0.0,-45.73,0
BackS023348,-33.0577,-19.6498,2.988e-19,3.031e-19,2.229e-19,0.0,-46.55,0
BackS023352,-32.9279,-19.6893,1.306e-20,1.774e-20,2.412e-20,0.0,-46.76,0
BackS023355,-32.9127,-19.6768,1.225e-20,1.688e-20,2.297e-20,-0.001,-45.92,0
BackS023358,-32.9274,-19.6893,3.472e-19,3.465e-19,2.394e-19,-0.0,-46.89,0
BackS023364,-32.9352,-19.6871,2.510e-20,3.194e-20,3.873e-20,-0.0,-46.69,0
BackS023365,-32.9866,-19.6640,1.589e-20,1.981e-20,2.269e-20,0.001,-46.47,0
BackS023377,-32.8818,-19.6582,3.515e-20,4.530e-20,5.367e-20,0.0,-45.69,0
BackS023378,-32.9477,-19.7414,4.169e-20,5.221e-20,5.860e-20,0.0,-46.94,0
BackS023386,-32.9295,-19.6695,1.661e-20,2.214e-20,2.921e-20,0.001,-46.1,0
BackS023398,-33.0415,-19.7027,9.961e-20,1.078e-19,9.142e-20,0.0,-46.89,0
BackS023402,-33.0391,-19.6523,8.714e-19,8.097e-19,5.031e-19,0.001,-46.54,0
BackS023409,-32.9003,-19.6757,1.229e-18,2.431e-18,7.346e-18,-0.0,-45.93,0
BackS023411,-32.9586,-19.6631,3.440e-19,3.418e-19,2.445e-19,-0.001,-46.35,0
BackS023412,-32.9841,-19.7167,2.866e-20,3.512e-20,3.824e-20,0.001,-47.06,0
BackS023413,-32.8863,-19.6908,1.975e-19,2.077e-19,1.697e-19,0.0,-46.07,0
BackS023415,-32.9210,-19.6809,1.370e-18,1.266e-18,7.839e-19,-0.0,-45.72,0
BackS023422,-32.9212,-19.6815,1.802e-18,2.661e-18,4.134e-18,-0.0,-45.77,0
BackS023428,-32.9527,-19.7113,3.266e-18,2.762e-18,1.429e-18,-0.002,-47.0,0
BackS023430,-32.8974,-19.6806,6.690e-19,6.432e-19,4.212e-19,0.0,-46.0,0
BackS023431,-32.9280,-19.7180,1.626e-20,2.055e-20,2.319e-20,-0.0,-46.8,0
BackS023432,-32.9251,-19.7030,3.942e-18,3.332e-18,1.787e-18,0.001,-46.75,0
BackS023440,-32.9548,-19.6887,1.114e-19,1.312e-19,1.298e-19,-0.0,-46.66,0
BackS023441,-32.9402,-19.6871,3.193e-20,4.115e-20,4.896e-20,-0.0,-46.56,0
BackS023442,-32.9233,-19.6469,9.948e-14,8.584e-14,4.613e-14,0.0,-45.93,1
BackS023446,-32.9578,-19.7194,9.714e-14,7.858e-14,3.756e-14,-0.0,-47.03,1
BackS023448,-32.9169,-19.6505,6.855e-19,6.561e-19,4.368e-19,0.001,-45.92,0
BackS023449,-32.9209,-19.7325,3.237e-17,9.760e-17,6.688e-16,0.0,-46.85,0
BackS023450,-32.9515,-19.7315,5.441e-20,6.086e-20,5.505e-20,-0.001,-46.99,0
BackS023451,-32.9573,-19.7362,1.645e-18,3.206e-18,9.116e-18,-0.001,-47.02,0
BackS023452,-32.9380,-19.6836,4.279e-19,4.336e-19,3.232e-19,0.001,-46.78,0
BackS023453,-32.8983,-19.6709,4.486e-19,4.288e-19,2.761e-19,0.0,-45.76,0
BackS023454,-32.9606,-19.6881,4.023e-19,4.127e-19,3.056e-19,0.0,-46.87,0
BackS023455,-32.9355,-19.6860,3.143e-18,2.701e-18,1.403e-18,0.0,-46.47,0
BackS023456,-32.9435,-19.6429,3.553e-20,4.462e-20,4.934e-20,-0.0,-46.17,0
BackS023458,-32.9152,-19.6689,1.288e-18,2.879e-18,1.088e-17,-0.0,-45.88,0
BackS023460,-32.8809,-19.6572,1.405e-20,1.760e-20,2.030e-20,-0.001,-45.72,0
BackS023461,-32.9333,-19.7136,9.166e-18,7.177e-18,3.196e-18,0.001,-46.8,0
BackS023462,-32.8928,-19.6728,5.739e-14,4.444e-14,1.885e-14,0.001,-45.81,1
BackS023464,-32.8920,-19.6712,7.620e-20,8.883e-20,8.505e-20,0.001,-45.83,0
BackS023466,-32.9045,-19.7090,8.583e-18,6.916e-18,3.168e-18,-0.001,-46.37,0
BackS023469,-32.8912,-19.6968,5.340e-18,4.626e-18,2.490e-18,0.001,-46.06,0
BackS023470,-32.9296,-19.6768,2.477e-20,3.091e-20,3.542e-20,0.0,-46.07,0
BackS023473,-32.8959,-19.6489,2.371e-18,2.038e-18,1.120e-18,0.001,-45.65,0
BackS023476,-32.9424,-19.6752,2.616e-18,2.144e-18,1.031e-18,0.0,-46.29,0
BackS023478,-32.9385,-19.6992,2.348e-18,3.780e-18,7.571e-18,0.001,-46.73,0
BackS023484,-32.9159,-19.6813,1.795e-18,2.854e-18,5.536e-18,0.0,-46.11,0
BackS023486,-32.9170,-19.6675,2.467e-18,2.057e-18,1.040e-18,0.001,-45.88,0
BackS023489,-32.9225,-19.6888,1.279e-18,1.130e-18,6.240e-19,0.0,-46.31,0
BackS023491,-32.8877,-19.6472,6.443e-18,1.310e-17,4.246e-17,-0.001,-45.64,0
BackS023493,-32.9052,-19.6973,9.638e-19,1.713e-18,3.997e-18,-0.001,-46.17,0
BackS023494,-32.9444,-19.6926,1.866e-19,1.989e-19,1.643e-19,0.0,-46.91,0
BackS023501,-32.9334,-19.6898,1.021e-20,1.339e-20,1.727e-20,0.0,-46.82,0
BackS023503,-32.9039,-19.6842,3.858e-18,3.288e-18,1.728e-18,-0.0,-46.12,0
BackS023504,-32.9033,-19.7149,7.345e-20,8.562e-20,8.480e-20,0.0,-46.45,0
BackS023505,-32.9460,-19.6782,2.844e-19,3.042e-19,2.482e-19,-0.001,-46.47,0
BackS023507,-32.9664,-19.7178,4.201e-18,3.633e-18,1.979e-18,0.0,-47.07,0
BackS023508,-32.9291,-19.6880,2.105e-20,2.872e-20,3.898e-20,-0.0,-46.37,0
BackS023509,-32.9433,-19.6757,1.438e-18,2.410e-18,5.222e-18,0.0,-46.31,0
BackS023515,-32.9438,-19.6745,1.241e-20,1.687e-20,2.342e-20,-0.0,-46.35,0
BackS023516,-32.9982,-19.7056,1.365e-18,2.181e-18,4.167e-18,0.0,-47.01,0
BackS023517,-32.9263,-19.7098,2.431e-18,5.668e-18,2.374e-17,-0.0,-46.59,0
BackS023520,-32.9321,-19.6905,4.020e-20,5.177e-20,6.337e-20,-0.0,-46.56,0
BackS023523,-32.9529,-19.7218,9.815e-19,1.753e-18,4.227e-18,-0.0,-47.16,0
BackS023524,-32.9365,-19.7225,3.267e-18,2.802e-18,1.487e-18,0.0,-46.77,0
BackS023525,-32.9217,-19.7138,1.028e-20,1.324e-20,1.642e-20,-0.001,-46.8,0
BackS023527,-32.9510,-19.6956,2.274e-18,5.123e-18,2.050e-17,-0.0,-46.89,0
BackS023528,-32.9643,-19.7215,4.619e-20,5.442e-20,5.749e-20,0.0,-47.0,0
BackS023531,-32.8811,-19.6932,2.828e-19,2.828e-19,2.016e-19,0.0,-46.23,0
BackS023533,-32.9631,-19.6716,9.767e-19,1.873e-18,5.182e-18,0.0,-46.7,0
BackS023534,-32.9815,-19.6867,5.717e-19,5.663e-19,4.003e-19,-0.001,-46.76,0
BackS023535,-32.9324,-19.6921,5.535e-18,4.777e-18,2.465e-18,0.0,-46.51,0
BackS023538,-32.9452,-19.6774,5.545e-19,5.510e-19,3.951e-19,0.0,-46.74,0
BackS023539,-32.8964,-19.6730,5.973e-18,4.776e-18,2.161e-18,-0.0,-45.85,0
BackS023540,-32.9240,-19.6845,1.401e-18,1.274e-18,7.609e-19,-0.0,-46.11,0
BackS023542,-32.9366,-19.7067,5.752e-19,5.647e-19,3.992e-19,-0.001,-46.79,0
BackS023543,-32.9059,-19.6748,2.288e-18,1.910e-18,9.443e-19,-0.0,-45.88,0
BackS023547,-32.9270,-19.7146,3.528e-18,3.089e-18,1.738e-18,0.001,-46.66,0
BackS023549,-32.9368,-19.7023,5.467e-20,6.771e-20,7.361e-20,-0.0,-46.81,0
BackS023553,-32.9187,-19.6935,3.694e-19,3.741e-19,2.782e-19,0.0,-46.26,0
BackS023554,-32.9386,-19.6943,1.158e-19,1.224e-19,1.001e-19,0.0,-46.69,0
BackS023556,-32.9124,-19.6756,2.271e-18,3.404e-18,5.739e-18,-0.001,-45.92,0
BackS023559,-32.9231,-19.7104,2.125e-18,3.861e-18,9.448e-18,-0.0,-46.55,0
BackS023562,-32.8899,-19.6635,1.579e-18,1.458e-18,8.905e-19,0.001,-45.75,0
BackS023563,-32.9152,-19.6770,6.311e-20,7.248e-20,6.804e-20,-0.0,-45.92,0
BackS023564,-32.9186,-19.6961,1.361e-19,1.451e-19,1.201e-19,0.001,-46.42,0
BackS023565,-32.9488,-19.7261,2.550e-19,2.679e-19,2.055e-19,0.001,-46.98,0
BackS023569,-32.8920,-19.6937,1.160e-18,1.075e-18,6.577e-19,0.0,-46.18,0
BackS023571,-32.9290,-19.7034,8.680e-19,8.281e-19,5.274e-19,0.0,-46.83,0
BackS023572,-32.9405,-19.6868,2.495e-20,3.179e-20,3.695e-20,-0.0,-46.58,0
BackS023574,-32.9460,-19.6993,1.476e-18,1.466e-18,1.014e-18,0.0,-46.86,0
BackS023577,-32.9563,-19.7010,5.091e-18,4.301e-18,2.134e-18,-0.0,-46.86,0
BackS023579,-32.8901,-19.6784,2.127e-17,1.685e-17,7.429e-18,-0.001,-45.95,1
BackS023580,-32.8856,-19.6752,6.140e-14,5.848e-14,3.937e-14,-0.0,-45.76,1
BackS023581,-32.9688,-19.6933,1.404e-20,1.864e-20,2.407e-20,-0.0,-46.78,0
BackS023584,-32.8951,-19.6684,4.725e-18,3.969e-18,2.059e-18,0.001,-45.82,0
