Name,X,Y,BlueF,GreenF,RedF,Size,RadialVelocity
BottomDG0003,21.9729,-30.0602,9.363e-18,6.968e-18,2.906e-18,87.4653,-812.59
BottomDG0004,21.9017,-30.0706,7.852e-18,7.133e-18,3.469e-18,48.4681,-812.69
BottomDG0005,22.1181,-29.9589,1.130e-17,9.111e-18,4.348e-18,46.9549,-812.67
BottomDG0006,22.0287,-29.8789,1.177e-17,8.783e-18,4.483e-18,43.6311,-812.7
BottomDG0007,21.8795,-29.8854,1.174e-17,9.866e-18,4.414e-18,46.0526,-812.51
BottomDG0008,21.8703,-29.9352,1.231e-17,1.035e-17,4.965e-18,45.0441,-812.65
BottomDG0009,22.0386,-29.9849,1.280e-17,1.008e-17,4.417e-18,57.8732,-812.64
BottomDG0058,-5.3058,-3.5439,7.979e-18,6.024e-18,2.939e-18,164.2363,-848.18
BottomDG0059,-5.4791,-3.4974,1.285e-17,1.131e-17,4.714e-18,54.3401,-847.92
BottomDG0060,-5.3063,-3.5376,1.150e-17,8.914e-18,4.279e-18,46.1181,-848.12
BottomDG0061,-5.3158,-3.4893,1.130e-17,9.333e-18,4.292e-18,41.4116,-848.07
BottomDG0062,-5.1513,-3.5583,1.042e-17,8.882e-18,4.376e-18,39.5713,-848.12
BottomDG0063,-5.2712,-3.6362,1.279e-17,1.059e-17,4.751e-18,47.4534,-848.03
BottomDG0064,-5.2779,-3.4790,1.152e-17,9.306e-18,4.021e-18,45.7038,-848.14
BottomDG0065,-5.2222,-3.5852,1.016e-17,8.784e-18,3.862e-18,38.4701,-848.07
BottomDG0066,-5.2633,-3.5728,1.134e-17,1.102e-17,4.032e-18,54.7438,-848.03
BottomDG0071,10.4160,14.9396,8.780e-18,8.174e-18,3.335e-18,87.8763,-839.1
BottomDG0072,10.5009,14.8775,1.243e-17,1.042e-17,5.438e-18,47.3293,-839.14
BottomDG0073,10.4944,14.9735,1.175e-17,9.643e-18,4.450e-18,49.2038,-839.22
