Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?
BottomS000002,8.9910,-27.6658,1.447e-18,1.330e-18,8.119e-19,0.0,-12.74,0
BottomS000003,8.9917,-27.6655,5.115e-20,5.655e-20,4.973e-20,-0.0,-11.54,0
BottomS000004,8.8276,-27.6613,6.395e-19,6.216e-19,4.266e-19,0.0,-11.65,0
BottomS000006,8.8853,-27.5265,2.687e-20,3.640e-20,4.929e-20,-0.0,-11.97,0
BottomS000016,9.0013,-27.6152,2.851e-19,2.958e-19,2.311e-19,-0.0,-11.86,0
BottomS000017,8.9790,-27.6644,1.196e-18,1.071e-18,6.326e-19,-0.001,-11.9,0
BottomS000019,9.0048,-27.6599,5.289e-20,6.256e-20,6.458e-20,-0.0,-11.45,0
BottomS000021,8.9632,-27.6714,2.476e-18,5.927e-18,2.602e-17,-0.0,-11.59,0
BottomS000031,9.0192,-27.7795,4.387e-20,5.330e-20,5.819e-20,-0.0,-10.89,0
BottomS000035,8.9949,-27.6581,2.843e-18,2.398e-18,1.199e-18,-0.0,-11.8,0
BottomS000036,9.0393,-27.6960,3.174e-18,5.670e-18,1.331e-17,-0.0,-10.91,0
BottomS000040,8.9864,-27.7106,1.019e-20,1.385e-20,1.933e-20,-0.001,-10.9,0
BottomS000046,9.0151,-27.6800,2.981e-18,6.208e-18,2.042e-17,0.0,-11.07,0
BottomS000047,8.9633,-27.7248,1.364e-19,1.516e-19,1.326e-19,0.0,-11.15,0
BottomS000048,9.0460,-27.7497,1.387e-19,1.476e-19,1.215e-19,-0.0,-10.75,0
BottomS000056,9.0585,-27.5343,3.821e-20,4.666e-20,5.087e-20,0.0,-11.77,0
BottomS000057,8.9478,-27.6279,3.120e-19,3.138e-19,2.289e-19,-0.001,-11.96,0
BottomS000060,9.0041,-27.6895,2.724e-20,3.436e-20,4.039e-20,0.0,-10.72,0
BottomS000062,9.0148,-27.6630,1.106e-20,1.550e-20,2.255e-20,-0.0,-11.23,0
BottomS000070,8.9643,-27.6310,2.520e-20,3.200e-20,3.774e-20,0.001,-12.07,0
BottomS000074,8.9958,-27.6947,9.419e-20,1.122e-19,1.111e-19,0.0,-10.89,0
BottomS000081,8.9903,-27.6786,2.714e-20,3.424e-20,3.896e-20,-0.001,-10.8,0
BottomS000084,8.9570,-27.6734,1.008e-20,1.403e-20,2.010e-20,-0.001,-11.54,0
BottomS000086,8.9833,-27.6641,4.721e-19,4.885e-19,3.897e-19,0.0,-11.92,0
BottomS000087,9.0141,-27.7154,1.111e-19,1.261e-19,1.146e-19,0.0,-10.78,0
BottomS000090,8.9143,-27.6443,8.165e-18,6.957e-18,3.536e-18,-0.0,-11.82,0
BottomS000091,8.9301,-27.5556,2.895e-19,2.891e-19,2.070e-19,0.0,-11.91,0
BottomS000094,8.9524,-27.6760,5.459e-19,5.292e-19,3.587e-19,0.0,-11.6,0
BottomS000099,8.9835,-27.6449,1.175e-19,1.303e-19,1.151e-19,0.001,-11.97,0
BottomS000102,8.9817,-27.6707,7.161e-14,5.328e-14,2.218e-14,-0.0,-11.49,1
BottomS000108,8.9924,-27.6686,1.158e-19,1.324e-19,1.220e-19,0.0,-10.96,0
