Name,Equat,Polar,BlueF,GreenF,RedF,Size,RadialVelocity
FrontDG0001,187.7133,50.8538,1.049e-16,9.284e-17,3.917e-17,176.4312,-194.62
FrontDG0077,166.8838,126.9648,7.03e-18,5.417e-18,2.725e-18,47.2464,-946.48
FrontDG0080,172.0706,72.6213,1.584e-17,1.385e-17,5.762e-18,143.0749,-561.67
FrontDG0081,171.9504,72.587,2.723e-17,2.216e-17,1.038e-17,78.0963,-561.79
FrontDG0082,171.82,72.5429,1.927e-17,1.542e-17,6.47e-18,85.4009,-561.54
FrontDG0083,172.007,72.8138,2.267e-17,2.247e-17,9.554e-18,59.6598,-561.39
FrontDG0084,172.1062,72.6857,2.641e-17,1.899e-17,9.36e-18,100.8396,-561.39
FrontDG0085,171.9656,72.3928,1.795e-17,1.532e-17,6.017e-18,67.7878,-561.79
FrontDG0086,171.8729,72.6122,2.88e-17,2.141e-17,9.914e-18,81.101,-561.84
FrontDG0087,172.1687,72.5404,2.742e-17,1.976e-17,8.704e-18,85.2564,-561.59
FrontDG0088,172.1857,72.5877,3.709e-17,2.749e-17,1.238e-17,77.5985,-561.51
FrontDG0089,156.7759,115.0188,7.802e-18,6.906e-18,2.785e-18,71.0847,-856.73
FrontDG0090,156.8006,114.9783,1.189e-17,1.063e-17,4.762e-18,47.5009,-856.97
FrontDG0238,174.4192,110.7812,1.923e-17,1.47e-17,6.865e-18,90.8796,-587.58
FrontDG0326,135.0211,64.0342,1.22e-17,1.012e-17,4.704e-18,51.4313,-839.53
FrontDG0350,159.8804,68.5588,2.519e-17,1.669e-17,7.077e-18,132.9539,-977.56
FrontDG0351,159.7438,68.6052,8.71e-18,7.08e-18,3.135e-18,41.5522,-977.8
FrontDG0352,159.7762,68.6939,5.505e-18,5.183e-18,2.268e-18,40.897,-977.95
FrontDG0353,159.8531,68.7201,8.552e-18,7.03e-18,3.22e-18,36.7127,-977.83
FrontDG0354,160.0778,68.5482,9.14e-18,7.11e-18,3.464e-18,48.3498,-977.53
FrontDG0355,159.9085,68.6166,7.991e-18,7.357e-18,3.217e-18,31.5162,-977.83
FrontDG0356,159.7612,68.7435,8.649e-18,8.233e-18,3.626e-18,47.7492,-977.82
FrontDG0357,160.0898,68.3724,8.928e-18,7.226e-18,3.642e-18,41.7405,-977.99
FrontDG0358,159.9304,68.6575,8.237e-18,6.573e-18,3.314e-18,32.8583,-977.38
FrontDG0359,159.7024,68.586,9.733e-18,7.344e-18,3.867e-18,46.8569,-977.75
FrontDG0360,159.9822,68.5409,6.138e-18,4.592e-18,2.151e-18,87.0455,-977.41
FrontDG0361,159.8056,68.6947,5.594e-18,5.472e-18,2.318e-18,47.3097,-977.59
FrontDG0362,159.6329,68.6966,7.785e-18,6.737e-18,3.15e-18,40.72,-977.75
FrontDG0363,159.9698,68.5942,5.068e-18,4.879e-18,2.423e-18,91.9533,-977.58
FrontDG0364,160.0494,68.6033,9.35e-18,7.705e-18,3.592e-18,45.3197,-977.53
FrontDG0365,159.8186,68.5229,8.469e-18,7.531e-18,3.168e-18,46.1213,-977.43
FrontDG0366,160.0642,68.5568,9.194e-18,8.455e-18,3.714e-18,40.8237,-977.57
FrontDG0367,179.3103,130.7031,1.039e-17,8.186e-18,3.724e-18,62.2009,-767.96
FrontDG0368,149.1647,94.0694,1.014e-17,7.714e-18,3.722e-18,87.5254,-823.08
FrontDG0369,149.3255,94.0608,1.106e-17,1.025e-17,4.745e-18,46.3537,-822.93
FrontDG0370,149.1621,93.9492,1.964e-17,1.529e-17,5.928e-18,50.7488,-822.93
FrontDG0371,149.2991,94.0305,1.301e-17,1.003e-17,4.658e-18,45.9648,-823.0
FrontDG0372,149.1789,94.1121,9.848e-18,7.919e-18,3.084e-18,50.5482,-823.2
FrontDG0373,149.1528,93.9384,9.091e-18,7.561e-18,3.537e-18,51.4129,-823.19
FrontDG0379,149.7556,71.4891,7.234e-18,6.077e-18,2.852e-18,49.0199,-931.76
FrontDG0390,177.9611,105.1514,1.026e-17,8.572e-18,3.781e-18,91.4478,-852.33
FrontDG0391,178.0503,105.1683,1.919e-17,1.442e-17,6.103e-18,49.1194,-852.4
FrontDG0392,177.885,105.1471,9.366e-18,8.474e-18,3.479e-18,67.7616,-852.64
FrontDG0393,177.8466,105.0707,1.266e-17,1.015e-17,4.527e-18,47.9519,-852.32
FrontDG0394,177.8059,105.1272,1.917e-17,1.44e-17,6.504e-18,43.4958,-852.49
FrontDG0395,178.0681,105.1677,1.236e-17,8.776e-18,4.51e-18,49.0037,-852.54
FrontDG0396,154.8169,58.3465,6.332e-17,5.196e-17,1.67e-17,210.9589,-562.12
FrontDG0397,154.8456,58.0609,2.376e-17,2.108e-17,9.198e-18,77.119,-561.85
FrontDG0398,154.8518,58.4159,2.43e-17,2.021e-17,9.199e-18,65.1911,-562.07
FrontDG0399,155.3417,58.3248,2.184e-17,1.949e-17,8.755e-18,66.9142,-561.85
FrontDG0400,154.9146,58.525,2.305e-17,1.789e-17,8.557e-18,67.7758,-561.76
FrontDG0401,154.5732,58.6474,2.28e-17,1.769e-17,8.292e-18,56.8356,-562.33
FrontDG0402,155.1727,58.2329,2.446e-17,1.929e-17,8.628e-18,74.2202,-562.13
FrontDG0403,154.8903,58.4967,2.394e-17,1.999e-17,7.872e-18,71.5371,-562.08
FrontDG0404,154.6646,58.2571,2.543e-17,1.94e-17,9.862e-18,69.5346,-562.04
FrontDG0405,154.4293,58.1437,1.658e-17,1.206e-17,6.078e-18,72.4977,-562.18
FrontDG0406,154.7436,58.4711,1.616e-17,1.338e-17,5.735e-18,99.3691,-561.99
FrontDG0407,154.8292,58.3653,2.236e-17,1.895e-17,7.53e-18,66.1231,-561.94
FrontDG0408,155.1961,58.0802,2.515e-17,2.129e-17,9.872e-18,66.0568,-561.98
FrontDG0409,154.855,58.0605,2.449e-17,2.206e-17,9.461e-18,73.0523,-562.11
FrontDG0410,154.824,58.6204,3.591e-17,2.486e-17,1.061e-17,75.4491,-562.01
FrontDG0411,154.4629,58.3141,2.501e-17,1.712e-17,8.042e-18,56.7873,-562.37
FrontDG0413,200.2379,78.2183,7.509e-17,4.97e-17,2.246e-17,241.8778,-345.82
FrontDG0414,199.9518,78.1871,8.603e-17,6.695e-17,2.795e-17,115.6315,-346.02
FrontDG0415,200.3824,77.9428,1.007e-16,7.3e-17,3.378e-17,150.1162,-345.84
FrontDG0416,200.4421,78.1544,5.985e-17,4.6e-17,2.361e-17,150.2137,-345.8
FrontDG0417,200.1216,77.8286,1.171e-16,9.512e-17,3.95e-17,140.9838,-346.03
FrontDG0418,200.6153,78.1339,7.995e-17,6.751e-17,3.26e-17,130.3369,-345.95
FrontDG0442,221.3757,108.0473,3.273e-17,2.985e-17,9.905e-18,155.8144,-733.24
FrontDG0443,221.2296,108.12,1.408e-17,1.203e-17,5.118e-18,54.5546,-732.97
FrontDG0444,221.5116,108.1066,1.768e-17,1.493e-17,6.99e-18,53.7036,-733.25
FrontDG0445,221.3751,107.9049,1.167e-17,1.095e-17,4.956e-18,58.19,-732.93
FrontDG0446,221.5292,108.1745,1.342e-17,1.015e-17,4.522e-18,55.6253,-732.87
FrontDG0447,221.2076,108.1358,9.238e-18,7.656e-18,3.421e-18,66.0029,-733.17
FrontDG0448,221.2736,108.1539,1.469e-17,1.104e-17,5.55e-18,57.5552,-733.14
FrontDG0449,221.3246,107.8966,1.384e-17,1.127e-17,5.139e-18,51.6897,-733.01
FrontDG0450,221.4149,107.9738,1.476e-17,1.187e-17,5.194e-18,59.1953,-733.34
FrontDG0451,221.4128,107.9156,1.495e-17,1.253e-17,5.677e-18,55.2531,-733.06
FrontDG0452,177.0944,127.3411,1.331e-16,1.016e-16,3.268e-17,259.2572,-357.55
FrontDG0453,176.9926,127.3388,3.472e-17,2.639e-17,1.273e-17,107.9837,-357.97
FrontDG0454,177.4638,127.4187,3.748e-17,2.787e-17,1.2e-17,103.3768,-358.0
FrontDG0455,177.0455,126.8101,3.438e-17,2.789e-17,1.252e-17,127.5055,-357.67
FrontDG0456,177.3295,127.577,7.066e-17,5.545e-17,2.338e-17,87.2304,-357.98
FrontDG0457,176.8185,127.6295,5.017e-17,4.018e-17,1.837e-17,116.7667,-357.62
FrontDG0458,177.2141,127.2879,4.88e-17,3.59e-17,1.813e-17,82.7296,-357.69
FrontDG0459,177.3388,127.7529,3.662e-17,2.754e-17,1.223e-17,119.8757,-357.97
FrontDG0460,176.4499,127.3225,5.262e-17,3.92e-17,1.751e-17,127.4064,-357.85
FrontDG0461,177.7019,127.0787,4.79e-17,3.975e-17,1.597e-17,111.4607,-357.84
FrontDG0462,177.4384,127.2905,5.069e-17,4.215e-17,1.779e-17,125.0492,-357.66
