Name,X,Y,BlueF,GreenF,RedF,Size,RadialVelocity
FrontDG0001,6.0949,36.9652,1.049e-16,9.284e-17,3.917e-17,176.4312,-194.62
FrontDG0077,-10.4852,-34.7738,7.030e-18,5.417e-18,2.725e-18,47.2464,-946.48
FrontDG0080,-6.2678,14.2197,1.584e-17,1.385e-17,5.762e-18,143.0749,-561.67
FrontDG0081,-6.3641,14.2538,2.723e-17,2.216e-17,1.038e-17,78.0963,-561.79
FrontDG0082,-6.4686,14.2969,1.927e-17,1.542e-17,6.470e-18,85.4009,-561.54
FrontDG0083,-6.3187,14.0545,2.267e-17,2.247e-17,9.554e-18,59.6598,-561.39
FrontDG0084,-6.2393,14.1625,2.641e-17,1.899e-17,9.360e-18,100.8396,-561.39
FrontDG0085,-6.3519,14.4226,1.795e-17,1.532e-17,6.017e-18,67.7878,-561.79
FrontDG0086,-6.4262,14.2346,2.880e-17,2.141e-17,9.914e-18,81.101,-561.84
FrontDG0087,-6.1893,14.2868,2.742e-17,1.976e-17,8.704e-18,85.2564,-561.59
FrontDG0088,-6.1757,14.2450,3.709e-17,2.749e-17,1.238e-17,77.5985,-561.51
FrontDG0089,-19.3094,-22.8537,7.802e-18,6.906e-18,2.785e-18,71.0847,-856.73
FrontDG0090,-19.2865,-22.8073,1.189e-17,1.063e-17,4.762e-18,47.5009,-856.97
FrontDG0238,-4.3971,-17.1583,1.923e-17,1.470e-17,6.865e-18,90.8796,-587.58
FrontDG0326,-44.9669,30.9807,1.220e-17,1.012e-17,4.704e-18,51.4313,-839.53
FrontDG0350,-16.4851,18.8212,2.519e-17,1.669e-17,7.077e-18,132.9539,-977.56
FrontDG0351,-16.6069,18.7929,8.710e-18,7.080e-18,3.135e-18,41.5522,-977.8
FrontDG0352,-16.5780,18.7034,5.505e-18,5.183e-18,2.268e-18,40.897,-977.95
FrontDG0353,-16.5094,18.6689,8.552e-18,7.030e-18,3.220e-18,36.7127,-977.83
FrontDG0354,-16.3095,18.8078,9.140e-18,7.110e-18,3.464e-18,48.3498,-977.53
FrontDG0355,-16.4601,18.7620,7.991e-18,7.357e-18,3.217e-18,31.5162,-977.83
FrontDG0356,-16.5914,18.6573,8.649e-18,8.233e-18,3.626e-18,47.7492,-977.82
FrontDG0357,-16.2988,18.9761,8.928e-18,7.226e-18,3.642e-18,41.7405,-977.99
FrontDG0358,-16.4406,18.7200,8.237e-18,6.573e-18,3.314e-18,32.8583,-977.38
FrontDG0359,-16.6439,18.8164,9.733e-18,7.344e-18,3.867e-18,46.8569,-977.75
FrontDG0360,-16.3945,18.8262,6.138e-18,4.592e-18,2.151e-18,87.0455,-977.41
FrontDG0361,-16.5518,18.6991,5.594e-18,5.472e-18,2.318e-18,47.3097,-977.59
FrontDG0362,-16.7059,18.7181,7.785e-18,6.737e-18,3.150e-18,40.72,-977.75
FrontDG0363,-16.4055,18.7763,5.068e-18,4.879e-18,2.423e-18,91.9533,-977.58
FrontDG0364,-16.3347,18.7580,9.350e-18,7.705e-18,3.592e-18,45.3197,-977.53
FrontDG0365,-16.5402,18.8633,8.469e-18,7.531e-18,3.168e-18,46.1213,-977.43
FrontDG0366,-16.3216,18.8011,9.194e-18,8.455e-18,3.714e-18,40.8237,-977.57
FrontDG0367,-0.5417,-38.7132,1.039e-17,8.186e-18,3.724e-18,62.2009,-767.96
FrontDG0368,-26.8630,-3.7285,1.014e-17,7.714e-18,3.722e-18,87.5254,-823.08
FrontDG0369,-26.6920,-3.7144,1.106e-17,1.025e-17,4.745e-18,46.3537,-822.93
FrontDG0370,-26.8657,-3.6181,1.964e-17,1.529e-17,5.928e-18,50.7488,-822.93
FrontDG0371,-26.7200,-3.6876,1.301e-17,1.003e-17,4.658e-18,45.9648,-823.0
FrontDG0372,-26.8479,-3.7672,9.848e-18,7.919e-18,3.084e-18,50.5482,-823.2
FrontDG0373,-26.8757,-3.6086,9.091e-18,7.561e-18,3.537e-18,51.4129,-823.19
FrontDG0379,-26.2373,17.4402,7.234e-18,6.077e-18,2.852e-18,49.0199,-931.76
FrontDG0390,-1.6020,-12.1930,1.026e-17,8.572e-18,3.781e-18,91.4478,-852.33
FrontDG0391,-1.5319,-12.2066,1.919e-17,1.442e-17,6.103e-18,49.1194,-852.4
FrontDG0392,-1.6619,-12.1899,9.366e-18,8.474e-18,3.479e-18,67.7616,-852.64
FrontDG0393,-1.6921,-12.1258,1.266e-17,1.015e-17,4.527e-18,47.9519,-852.32
FrontDG0394,-1.7241,-12.1738,1.917e-17,1.440e-17,6.504e-18,43.4958,-852.49
FrontDG0395,-1.5179,-12.2059,1.236e-17,8.776e-18,4.510e-18,49.0037,-852.54
FrontDG0396,-21.1592,30.6559,6.332e-17,5.196e-17,1.670e-17,210.9589,-562.12
FrontDG0397,-21.1317,30.9917,2.376e-17,2.108e-17,9.198e-18,77.119,-561.85
FrontDG0398,-21.1257,30.5641,2.430e-17,2.021e-17,9.199e-18,65.1911,-562.07
FrontDG0399,-20.6580,30.5516,2.184e-17,1.949e-17,8.755e-18,66.9142,-561.85
FrontDG0400,-21.0656,30.4182,2.305e-17,1.789e-17,8.557e-18,67.7758,-561.76
FrontDG0401,-21.3934,30.3576,2.280e-17,1.769e-17,8.292e-18,56.8356,-562.33
FrontDG0402,-20.8189,30.7031,2.446e-17,1.929e-17,8.628e-18,74.2202,-562.13
FrontDG0403,-21.0888,30.4580,2.394e-17,1.999e-17,7.872e-18,71.5371,-562.08
FrontDG0404,-21.3054,30.8017,2.543e-17,1.940e-17,9.862e-18,69.5346,-562.04
FrontDG0405,-21.5321,30.9987,1.658e-17,1.206e-17,6.078e-18,72.4977,-562.18
FrontDG0406,-21.2295,30.5252,1.616e-17,1.338e-17,5.735e-18,99.3691,-561.99
FrontDG0407,-21.1474,30.6303,2.236e-17,1.895e-17,7.530e-18,66.1231,-561.94
FrontDG0408,-20.7966,30.8804,2.515e-17,2.129e-17,9.872e-18,66.0568,-561.98
FrontDG0409,-21.1227,30.9899,2.449e-17,2.206e-17,9.461e-18,73.0523,-562.11
FrontDG0410,-21.1524,30.3271,3.591e-17,2.486e-17,1.061e-17,75.4491,-562.01
FrontDG0411,-21.4997,30.7847,2.501e-17,1.712e-17,8.042e-18,56.7873,-562.37
FrontDG0413,16.5906,10.0036,7.509e-17,4.970e-17,2.246e-17,241.8778,-345.82
FrontDG0414,16.3358,10.0125,8.603e-17,6.695e-17,2.795e-17,115.6315,-346.02
FrontDG0415,16.7196,10.2540,1.007e-16,7.300e-17,3.378e-17,150.1162,-345.84
FrontDG0416,16.7730,10.0727,5.985e-17,4.600e-17,2.361e-17,150.2137,-345.8
FrontDG0417,16.4869,10.3367,1.171e-16,9.512e-17,3.950e-17,140.9838,-346.03
FrontDG0418,16.9281,10.1021,7.995e-17,6.751e-17,3.260e-17,130.3369,-345.95
FrontDG0442,39.6389,-19.5397,3.273e-17,2.985e-17,9.905e-18,155.8144,-733.24
FrontDG0443,39.4356,-19.5800,1.408e-17,1.203e-17,5.118e-18,54.5546,-732.97
FrontDG0444,39.8289,-19.6495,1.768e-17,1.493e-17,6.990e-18,53.7036,-733.25
FrontDG0445,39.6381,-19.3749,1.167e-17,1.095e-17,4.956e-18,58.19,-732.93
FrontDG0446,39.8535,-19.7338,1.342e-17,1.015e-17,4.522e-18,55.6253,-732.87
FrontDG0447,39.4050,-19.5917,9.238e-18,7.656e-18,3.421e-18,66.0029,-733.17
FrontDG0448,39.4968,-19.6325,1.469e-17,1.104e-17,5.550e-18,57.5552,-733.14
FrontDG0449,39.5677,-19.3502,1.384e-17,1.127e-17,5.139e-18,51.6897,-733.01
FrontDG0450,39.6937,-19.4664,1.476e-17,1.187e-17,5.194e-18,59.1953,-733.34
FrontDG0451,39.6907,-19.3985,1.495e-17,1.253e-17,5.677e-18,55.2531,-733.06
FrontDG0452,-2.2840,-34.3761,1.331e-16,1.016e-16,3.268e-17,259.2572,-357.55
FrontDG0453,-2.3642,-34.3763,3.472e-17,2.639e-17,1.273e-17,107.9837,-357.97
FrontDG0454,-1.9932,-34.4621,3.748e-17,2.787e-17,1.200e-17,103.3768,-358.0
FrontDG0455,-2.3225,-33.7215,3.438e-17,2.789e-17,1.252e-17,127.5055,-357.67
FrontDG0456,-2.0989,-34.6636,7.066e-17,5.545e-17,2.338e-17,87.2304,-357.98
FrontDG0457,-2.5013,-34.7452,5.017e-17,4.018e-17,1.837e-17,116.7667,-357.62
FrontDG0458,-2.1898,-34.3064,4.880e-17,3.590e-17,1.813e-17,82.7296,-357.69
