Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?
FrontS027610,13.9535,4.6755,2.630e-20,3.264e-20,3.560e-20,-0.0,-119.93,0
FrontS027611,13.9581,4.6300,2.587e-18,5.983e-18,2.424e-17,-0.0,-118.96,0
FrontS027617,13.9647,4.6330,2.800e-14,1.999e-14,7.434e-15,-0.001,-119.75,0
FrontS027623,13.9490,4.6619,9.401e-20,1.071e-19,1.021e-19,-0.001,-120.51,0
FrontS027625,13.9749,4.5992,1.008e-18,1.639e-18,3.164e-18,-0.001,-119.18,0
FrontS027627,13.9534,4.6201,6.382e-20,7.091e-20,6.287e-20,0.001,-120.01,0
FrontS027629,13.9363,4.6466,7.514e-20,8.342e-20,7.200e-20,-0.0,-118.89,0
FrontS027630,13.9341,4.6530,5.127e-19,4.948e-19,3.250e-19,-0.0,-120.07,0
FrontS027631,13.9268,4.6209,2.707e-19,2.792e-19,2.168e-19,-0.0,-121.18,0
FrontS027632,13.9613,4.6805,5.770e-19,1.163e-18,3.538e-18,0.0,-120.3,0
FrontS027634,13.9228,4.6226,2.485e-20,3.006e-20,3.225e-20,0.001,-120.48,0
FrontS027635,13.9371,4.6437,1.049e-14,6.936e-15,2.252e-15,0.0,-120.37,0
FrontS027639,13.9726,4.6450,9.070e-19,8.611e-19,5.567e-19,-0.0,-118.96,0
FrontS027640,13.9477,4.6415,6.098e-19,5.946e-19,4.025e-19,0.0,-119.21,0
FrontS027644,13.9398,4.6459,2.700e-19,2.599e-19,1.726e-19,0.0,-118.75,0
FrontS027645,13.9267,4.6552,3.709e-20,4.420e-20,4.682e-20,-0.0,-120.88,0
FrontS027650,13.9596,4.6432,3.704e-20,4.390e-20,4.375e-20,-0.0,-119.07,0
FrontS027651,13.9072,4.6239,1.312e-20,1.735e-20,2.286e-20,-0.001,-120.71,0
FrontS027653,13.9746,4.6374,4.080e-18,3.289e-18,1.541e-18,-0.0,-119.91,0
FrontS027658,13.9453,4.6257,2.511e-18,4.180e-18,8.540e-18,-0.0,-120.22,0
FrontS027659,13.9571,4.6197,6.829e-18,5.633e-18,2.726e-18,-0.001,-118.66,0
FrontS027661,13.9624,4.6275,3.471e-18,2.935e-18,1.509e-18,0.0,-118.72,0
FrontS027662,13.9351,4.6166,1.450e-18,1.341e-18,8.105e-19,0.0,-119.11,0
FrontS027663,13.9231,4.6337,1.993e-20,2.427e-20,2.650e-20,0.0,-119.17,0
FrontS027667,13.9568,4.5780,1.312e-18,2.130e-18,4.140e-18,0.001,-119.09,0
FrontS027669,13.9374,4.6754,1.369e-19,1.451e-19,1.176e-19,0.0,-119.18,0
FrontS027673,13.9661,4.6400,8.294e-19,1.312e-18,2.523e-18,0.0,-120.01,0
FrontS027674,13.9673,4.6157,7.176e-18,1.782e-17,8.790e-17,-0.001,-119.26,0
FrontS027676,13.9447,4.6150,3.523e-19,6.850e-19,1.926e-18,0.001,-120.07,0
FrontS027678,13.9278,4.6571,1.578e-20,2.040e-20,2.400e-20,0.0,-120.49,0
FrontS027679,13.9500,4.6267,4.604e-20,5.657e-20,6.141e-20,0.0,-119.73,0
FrontS027680,13.9365,4.6256,5.149e-19,4.734e-19,2.960e-19,0.0,-120.48,0
FrontS027681,13.9619,4.6434,7.102e-19,6.809e-19,4.542e-19,0.0,-120.37,0
FrontS027682,13.9556,4.6424,2.317e-18,1.956e-18,1.012e-18,-0.0,-119.12,0
FrontS027684,13.9447,4.6515,2.582e-18,2.326e-18,1.381e-18,0.0,-118.96,0
FrontS027685,13.9513,4.6287,1.738e-20,2.192e-20,2.503e-20,0.001,-118.89,0
FrontS027687,13.9780,4.6051,1.658e-20,2.110e-20,2.480e-20,-0.0,-120.5,0
FrontS027688,13.9502,4.6635,4.457e-19,4.402e-19,3.063e-19,0.0,-120.67,0
FrontS027689,13.9247,4.6696,3.740e-18,5.814e-18,1.035e-17,-0.001,-119.54,0
FrontS027692,13.9642,4.6224,6.299e-20,6.708e-20,5.620e-20,0.001,-120.81,0
FrontS027693,13.9228,4.6211,1.040e-16,7.163e-17,2.590e-17,-0.0,-119.87,0
FrontS027694,13.9087,4.6427,4.743e-19,4.555e-19,2.945e-19,0.0,-120.92,0
FrontS027695,13.9564,4.6835,3.165e-18,5.465e-18,1.195e-17,-0.0,-118.9,0
FrontS027696,13.9362,4.6227,1.576e-19,1.681e-19,1.355e-19,0.0,-119.36,0
FrontS027698,13.9526,4.6241,3.083e-19,2.997e-19,2.111e-19,-0.0,-119.88,0
FrontS027699,13.9663,4.6175,2.243e-20,2.784e-20,3.049e-20,-0.0,-120.31,0
FrontS027700,13.9417,4.6475,5.132e-14,3.741e-14,1.437e-14,-0.0,-119.52,0
FrontS027705,13.9523,4.5928,4.339e-20,4.829e-20,4.246e-20,-0.0,-119.16,0
FrontS027707,13.9583,4.6154,1.720e-20,2.202e-20,2.534e-20,-0.0,-119.76,0
FrontS027708,13.9488,4.6394,5.393e-19,5.005e-19,3.183e-19,0.0,-120.34,0
FrontS027710,13.9392,4.6707,8.391e-19,1.474e-18,3.243e-18,-0.0,-121.05,0
FrontS027712,13.9390,4.6592,1.247e-20,1.662e-20,2.129e-20,-0.0,-119.79,0
FrontS027713,13.9248,4.6262,5.109e-18,4.206e-18,2.103e-18,0.0,-120.11,0
FrontS027715,13.9521,4.6580,7.967e-20,8.983e-20,8.169e-20,0.0,-119.34,0
FrontS027716,13.9488,4.5940,7.543e-19,6.896e-19,4.147e-19,0.0,-120.54,0
FrontS027718,13.9565,4.6112,1.997e-18,3.353e-18,7.084e-18,-0.0,-120.69,0
FrontS027719,13.9468,4.6377,9.667e-18,2.302e-17,9.618e-17,0.0,-120.94,0
FrontS027721,13.9440,4.6362,1.342e-17,1.059e-17,4.870e-18,-0.0,-118.85,1
FrontS027722,13.9535,4.6202,4.945e-18,3.945e-18,1.776e-18,-0.0,-119.2,0
FrontS027723,13.9087,4.6434,6.359e-18,5.169e-18,2.428e-18,0.0,-120.36,0
FrontS027724,13.9367,4.6427,1.071e-17,8.386e-18,3.772e-18,0.001,-120.91,1
FrontS027726,13.9312,4.5971,1.204e-17,9.253e-18,4.028e-18,-0.001,-120.58,1
FrontS027728,13.9768,4.6462,3.508e-18,2.905e-18,1.463e-18,0.0,-119.18,0
FrontS027731,13.9329,4.6523,6.468e-14,5.496e-14,2.799e-14,-0.0,-120.31,1
FrontS027732,13.9646,4.6615,6.955e-19,1.173e-18,2.525e-18,0.0,-119.04,0
FrontS027733,13.9759,4.6508,3.275e-19,3.182e-19,2.185e-19,0.0,-119.01,0
FrontS027734,13.9286,4.6235,8.980e-19,1.724e-18,4.823e-18,0.0,-120.78,0
FrontS027736,13.9597,4.6653,1.408e-20,1.815e-20,2.241e-20,0.0,-120.47,0
FrontS027737,13.9529,4.6673,2.323e-18,3.816e-18,7.775e-18,0.001,-121.14,0
FrontS027738,13.9379,4.6245,1.724e-18,2.564e-18,4.215e-18,0.0,-119.67,0
FrontS027742,13.9314,4.6544,5.735e-14,4.079e-14,1.504e-14,-0.0,-120.17,0
FrontS027744,13.9378,4.6270,1.146e-18,1.038e-18,6.345e-19,0.0,-119.33,0
FrontS027745,13.9472,4.6430,5.775e-19,5.660e-19,3.757e-19,-0.001,-120.4,0
FrontS027747,13.9482,4.6765,1.420e-19,1.538e-19,1.313e-19,0.001,-119.19,0
FrontS027749,13.9543,4.6435,7.674e-19,1.393e-18,3.488e-18,0.0,-120.02,0
FrontS027751,13.9564,4.6190,1.370e-20,1.753e-20,2.165e-20,0.0,-119.07,0
FrontS027753,13.9516,4.6644,2.510e-19,2.514e-19,1.739e-19,0.0,-120.12,0
FrontS027757,14.0045,4.6463,1.624e-19,1.729e-19,1.432e-19,0.0,-119.02,0
FrontS027759,13.9261,4.6356,1.386e-18,1.220e-18,6.742e-19,-0.0,-118.88,0
FrontS027761,13.8957,4.6065,1.048e-19,1.122e-19,9.084e-20,-0.0,-119.56,0
FrontS027763,13.9352,4.6201,1.752e-17,1.336e-17,5.714e-18,-0.0,-119.21,1
FrontS027765,13.9302,4.6472,1.268e-19,1.402e-19,1.254e-19,0.001,-119.38,0
FrontS027766,13.9584,4.6202,1.002e-17,8.100e-18,3.774e-18,-0.0,-119.68,0
