Name,X,Y,BlueF,GreenF,RedF,Size,RadialVelocity
LeftDG0023,-19.2877,-11.4573,7.400e-18,6.850e-18,3.276e-18,49.4458,-1043.63
LeftDG0024,-19.3016,-11.4765,8.293e-18,6.397e-18,2.760e-18,44.2839,-1043.48
LeftDG0025,-1.9477,29.9910,4.451e-17,3.035e-17,1.054e-17,193.6445,-788.78
LeftDG0026,-1.8658,29.6832,1.549e-17,1.210e-17,6.384e-18,64.1586,-788.9
LeftDG0027,-2.0073,29.9100,1.430e-17,1.363e-17,5.876e-18,53.4071,-788.88
LeftDG0028,-1.8856,30.0908,1.467e-17,1.160e-17,5.112e-18,46.8001,-788.75
LeftDG0029,-1.8838,30.1079,2.083e-17,1.557e-17,7.026e-18,59.604,-788.74
LeftDG0030,-2.0087,29.8466,1.404e-17,1.189e-17,5.380e-18,54.0989,-788.92
LeftDG0031,-1.9536,29.6373,1.500e-17,1.195e-17,5.472e-18,65.6246,-788.88
LeftDG0032,-2.1141,30.0615,1.426e-17,1.137e-17,5.326e-18,56.0214,-788.97
LeftDG0033,-1.9647,30.3685,1.347e-17,1.101e-17,5.198e-18,49.1103,-788.76
LeftDG0034,-2.0166,29.7906,1.419e-17,1.113e-17,5.257e-18,50.0326,-788.76
LeftDG0035,-1.9719,29.7499,1.361e-17,1.134e-17,5.248e-18,53.3032,-788.48
LeftDG0036,-2.1166,29.7074,1.400e-17,1.105e-17,5.810e-18,59.6901,-788.86
LeftDG0037,-1.9109,30.0709,1.354e-17,1.209e-17,5.795e-18,74.3647,-788.81
LeftDG0121,-18.6865,-17.2313,4.887e-17,3.876e-17,1.068e-17,158.4578,-681.41
LeftDG0122,-18.5890,-17.3512,2.592e-17,1.844e-17,7.265e-18,49.1613,-681.49
LeftDG0123,-18.9396,-17.3574,1.505e-17,1.313e-17,5.309e-18,53.7189,-681.37
LeftDG0124,-18.8578,-17.1412,1.586e-17,1.261e-17,5.493e-18,52.2751,-681.37
LeftDG0125,-18.6349,-16.9929,1.504e-17,1.309e-17,6.156e-18,57.9309,-681.46
LeftDG0126,-18.7678,-17.2541,1.656e-17,1.266e-17,5.648e-18,46.3856,-681.43
LeftDG0127,-18.8270,-17.1959,1.734e-17,1.494e-17,6.489e-18,74.5472,-681.51
LeftDG0128,-18.6998,-17.1256,1.412e-17,1.094e-17,4.799e-18,105.7262,-681.34
LeftDG0129,-18.5300,-17.1933,1.734e-17,1.439e-17,6.737e-18,57.0717,-681.82
LeftDG0130,-18.7557,-17.4010,1.536e-17,1.307e-17,5.635e-18,59.6105,-681.66
LeftDG0131,-18.7342,-17.1876,1.432e-17,1.355e-17,5.891e-18,57.6418,-681.78
LeftDG0208,-24.9598,29.0219,2.212e-17,1.901e-17,8.966e-18,80.9048,-627.61
LeftDG0209,-24.8911,28.9496,1.966e-17,1.754e-17,7.032e-18,63.3756,-627.62
LeftDG0260,4.7605,-26.7267,5.198e-17,3.658e-17,1.318e-17,156.5518,-631.66
LeftDG0261,4.6890,-27.2761,2.530e-17,2.075e-17,8.442e-18,69.0801,-631.76
LeftDG0262,5.2621,-26.8650,1.739e-17,1.428e-17,5.780e-18,62.0585,-631.75
LeftDG0263,5.3516,-27.2557,1.852e-17,1.382e-17,6.268e-18,51.9455,-631.79
LeftDG0264,4.6726,-26.5107,1.731e-17,1.282e-17,6.094e-18,55.1029,-631.76
LeftDG0265,4.9968,-27.2515,1.699e-17,1.491e-17,6.324e-18,54.0011,-631.36
LeftDG0266,5.4584,-26.3811,1.199e-17,1.018e-17,4.408e-18,77.3337,-631.58
LeftDG0267,4.7684,-26.9797,1.220e-17,8.746e-18,3.852e-18,75.1299,-631.84
LeftDG0268,4.9486,-27.4981,1.642e-17,1.518e-17,7.922e-18,61.676,-631.81
LeftDG0269,4.6769,-27.1500,1.082e-17,9.464e-18,4.109e-18,78.5614,-631.85
LeftDG0270,4.9780,-26.4523,1.608e-17,1.336e-17,5.922e-18,52.3758,-631.63
LeftDG0271,4.7516,-26.6989,1.035e-17,8.898e-18,4.259e-18,145.9448,-631.55
LeftDG0272,5.0015,-26.7693,1.906e-17,1.511e-17,6.763e-18,48.4879,-631.71
LeftDG0273,4.5180,-26.2553,1.616e-17,1.312e-17,6.014e-18,46.2603,-631.54
LeftDG0274,4.6675,-27.0434,1.210e-17,1.179e-17,4.641e-18,112.5966,-631.81
LeftDG0275,4.4255,-26.6693,1.939e-17,1.496e-17,7.550e-18,59.2441,-631.63
LeftDG0276,4.6197,-26.3187,1.858e-17,1.486e-17,6.929e-18,69.5182,-631.69
LeftDG0277,4.7125,-26.3121,1.492e-17,1.469e-17,5.783e-18,53.4591,-631.9
LeftDG0278,5.2514,-26.8823,1.002e-17,9.558e-18,3.844e-18,79.1171,-632.02
LeftDG0279,4.4927,-26.0060,1.818e-17,1.342e-17,6.546e-18,51.3872,-631.86
LeftDG0280,4.9800,-26.6576,1.657e-17,1.368e-17,6.301e-18,55.4298,-631.75
LeftDG0281,5.2338,-27.2246,1.784e-17,1.368e-17,6.243e-18,53.2668,-631.64
LeftDG0282,4.9488,-26.9854,1.177e-17,9.126e-18,4.954e-18,85.966,-631.81
LeftDG0283,4.8337,-26.6246,1.725e-17,1.506e-17,6.281e-18,68.0916,-632.04
LeftDG0284,5.4230,-26.4660,1.802e-17,1.520e-17,6.308e-18,68.2084,-632.01
LeftDG0285,4.2639,-26.2299,1.679e-17,1.268e-17,5.997e-18,55.1298,-631.59
LeftDG0286,4.4782,-26.4052,1.899e-17,1.534e-17,6.902e-18,64.0294,-631.64
LeftDG0287,5.1543,-26.8848,1.715e-17,1.453e-17,6.533e-18,61.3987,-631.63
LeftDG0288,4.7587,-27.2088,1.748e-17,1.442e-17,6.386e-18,65.5777,-631.52
LeftDG0289,4.2829,-27.0381,1.053e-17,9.774e-18,4.181e-18,73.7851,-632.01
LeftDG0290,5.2207,-27.2816,1.865e-17,1.458e-17,6.486e-18,69.8089,-631.91
LeftDG0291,4.3583,-26.8778,1.076e-17,9.530e-18,4.160e-18,79.1281,-631.72
LeftDG0325,44.9788,31.0114,1.171e-17,1.068e-17,4.778e-18,54.9382,-839.41
LeftDG0327,-14.7361,17.4953,3.080e-17,2.136e-17,7.110e-18,116.3141,-866.11
LeftDG0328,-14.6413,17.4680,9.370e-18,8.611e-18,3.747e-18,42.2267,-866.09
LeftDG0329,-14.8706,17.4965,1.101e-17,8.242e-18,4.081e-18,49.6229,-865.76
