Name,X,Y,BlueF,GreenF,RedF,Size,RadialVelocity
RightDG0010,37.7456,28.9602,1.728e-17,1.319e-17,5.596e-18,50.4102,-629.64
RightDG0011,37.6201,28.8334,1.703e-17,1.567e-17,6.260e-18,70.1929,-629.54
RightDG0012,37.6572,28.9057,1.514e-17,1.458e-17,6.144e-18,52.2732,-629.49
RightDG0013,37.5418,28.9614,1.733e-17,1.526e-17,6.893e-18,60.799,-629.52
RightDG0067,2.3057,-23.0351,4.323e-17,3.688e-17,1.841e-17,117.032,-465.16
RightDG0068,2.3994,-22.9836,4.591e-17,3.671e-17,1.770e-17,89.7776,-465.06
RightDG0069,2.4527,-22.8957,4.514e-17,3.605e-17,1.748e-17,118.1985,-465.03
RightDG0070,2.3926,-22.9440,3.961e-17,3.062e-17,1.447e-17,83.2844,-464.99
RightDG0157,-33.9567,43.6598,2.934e-17,2.307e-17,7.477e-18,98.3427,-888.18
RightDG0158,-33.8491,43.1918,6.449e-18,5.429e-18,2.899e-18,69.3113,-888.02
RightDG0159,-33.7296,44.1425,1.117e-17,8.239e-18,3.995e-18,47.5193,-888.0
RightDG0160,-33.5441,43.0751,9.340e-18,7.592e-18,3.576e-18,45.9085,-888.11
RightDG0161,-33.8963,43.9918,6.864e-18,5.524e-18,2.747e-18,63.373,-888.23
RightDG0162,-34.1296,43.4383,6.502e-18,5.227e-18,2.708e-18,61.0884,-887.99
RightDG0163,-33.5459,43.0336,1.097e-17,8.613e-18,4.273e-18,45.7392,-888.18
RightDG0164,-34.2770,43.6097,1.039e-17,8.744e-18,3.657e-18,57.8001,-888.22
RightDG0165,-33.5791,43.5699,9.896e-18,8.454e-18,4.068e-18,42.3278,-888.16
RightDG0166,-34.4423,43.8685,8.683e-18,8.033e-18,3.649e-18,45.0299,-887.96
RightDG0167,-33.5833,42.9487,9.481e-18,8.826e-18,3.764e-18,42.6166,-888.22
RightDG0168,-33.9948,44.0719,1.042e-17,7.676e-18,3.774e-18,39.9152,-888.35
RightDG0169,-33.9689,43.2714,6.952e-18,4.897e-18,2.720e-18,65.1361,-888.32
RightDG0170,-33.7845,43.0375,9.672e-18,7.946e-18,3.667e-18,41.3771,-888.07
RightDG0171,-33.5534,43.1958,1.109e-17,8.587e-18,3.695e-18,51.8971,-888.18
RightDG0172,-33.5664,43.7565,9.765e-18,9.316e-18,4.535e-18,46.0488,-888.31
RightDG0173,-33.4389,42.9622,6.798e-18,5.604e-18,2.890e-18,49.4176,-888.23
RightDG0174,-33.8878,44.0231,1.020e-17,8.923e-18,4.204e-18,46.4072,-888.03
RightDG0175,-34.0964,43.0523,1.068e-17,8.456e-18,3.940e-18,44.411,-888.27
RightDG0176,-34.0026,43.6212,7.721e-18,6.217e-18,3.029e-18,73.0061,-888.25
RightDG0177,-33.8977,43.2329,9.916e-18,7.074e-18,3.478e-18,39.6775,-887.91
RightDG0178,-34.0169,43.2920,9.889e-18,6.799e-18,3.902e-18,35.7979,-888.13
RightDG0179,-33.8450,43.6478,9.517e-18,7.694e-18,3.533e-18,42.7058,-887.93
RightDG0180,-34.1523,43.4465,1.023e-17,9.523e-18,4.063e-18,46.0071,-887.88
RightDG0181,-33.6860,43.9400,1.034e-17,8.071e-18,4.094e-18,52.4693,-888.08
RightDG0182,-33.5052,43.1394,1.023e-17,7.520e-18,3.756e-18,40.9009,-888.39
RightDG0183,-38.1635,-20.2524,5.322e-18,4.324e-18,2.254e-18,60.7331,-1056.89
RightDG0184,-38.3169,-20.2775,8.218e-18,6.744e-18,3.008e-18,32.7776,-1056.77
RightDG0185,-38.0743,-20.1977,8.314e-18,6.935e-18,3.322e-18,44.4958,-1056.97
RightDG0186,-38.1105,-20.2742,9.028e-18,6.223e-18,2.770e-18,35.7806,-1056.91
RightDG0187,-38.0639,-20.1796,8.714e-18,7.688e-18,3.660e-18,42.3157,-1056.75
RightDG0210,12.9352,25.0573,6.173e-18,4.924e-18,2.672e-18,85.7055,-958.34
RightDG0211,12.9411,25.0644,8.999e-18,7.860e-18,3.832e-18,43.2964,-958.02
RightDG0212,13.0009,25.1128,1.020e-17,7.845e-18,3.676e-18,40.0275,-958.44
RightDG0213,13.0217,24.9936,1.069e-17,8.473e-18,4.071e-18,45.5513,-958.31
RightDG0214,12.9856,25.0776,7.212e-18,5.764e-18,2.747e-18,56.1854,-958.57
RightDG0215,12.9389,24.9877,9.822e-18,7.873e-18,3.770e-18,55.3898,-958.22
RightDG0216,12.9588,25.0003,9.171e-18,7.997e-18,3.613e-18,37.1093,-958.23
RightDG0239,-15.3323,-21.1978,1.509e-17,1.305e-17,5.404e-18,134.2879,-625.87
RightDG0240,-15.0876,-21.1853,2.573e-17,1.955e-17,8.815e-18,88.5108,-625.74
RightDG0241,-15.2590,-21.0391,2.695e-17,2.061e-17,8.199e-18,71.6334,-625.57
RightDG0242,-15.3458,-21.3406,2.558e-17,2.018e-17,9.139e-18,69.893,-625.46
RightDG0243,-15.2610,-21.2890,1.636e-17,1.338e-17,5.967e-18,69.2695,-625.67
RightDG0244,-15.4033,-21.2214,2.408e-17,2.024e-17,1.033e-17,78.5447,-625.62
RightDG0245,-15.5186,-21.1392,2.263e-17,1.718e-17,8.417e-18,71.7306,-625.57
RightDG0246,-15.0931,-21.1458,2.794e-17,2.261e-17,9.334e-18,72.9691,-625.69
RightDG0247,-15.2843,-21.0076,2.236e-17,2.044e-17,8.731e-18,71.51,-625.54
RightDG0248,14.9837,-24.4460,6.930e-17,4.843e-17,1.881e-17,200.7625,-571.84
RightDG0249,15.0018,-24.4609,2.424e-17,1.980e-17,8.200e-18,62.5656,-572.08
RightDG0250,14.9881,-24.5775,2.422e-17,1.926e-17,6.995e-18,66.0165,-572.01
RightDG0251,14.8293,-24.4632,2.356e-17,2.111e-17,8.476e-18,71.7295,-571.98
RightDG0252,14.9329,-24.2632,2.772e-17,2.188e-17,1.028e-17,74.8509,-572.16
RightDG0253,15.2154,-24.4986,2.368e-17,1.993e-17,8.498e-18,68.177,-571.91
RightDG0254,15.0107,-24.3841,1.685e-17,1.364e-17,6.590e-18,136.5345,-572.07
RightDG0255,14.9465,-24.3041,2.220e-17,2.032e-17,8.979e-18,59.0331,-572.08
RightDG0256,15.2357,-24.3246,2.396e-17,1.897e-17,9.370e-18,62.7249,-572.01
RightDG0257,14.8786,-24.7989,2.465e-17,2.277e-17,1.026e-17,66.5982,-572.09
RightDG0258,14.7837,-24.1887,2.489e-17,2.027e-17,8.259e-18,67.6809,-571.69
RightDG0259,15.1518,-24.8057,2.534e-17,2.180e-17,8.767e-18,72.9975,-571.74
RightDG0412,-4.3630,9.2000,2.221e-17,1.755e-17,7.451e-18,94.1674,-507.16
RightDG0494,-41.1725,-16.0244,3.833e-17,3.045e-17,1.342e-17,102.0332,-443.67
RightDG0495,-41.0057,-15.8868,3.471e-17,2.733e-17,1.315e-17,77.1966,-443.63
RightDG0496,-41.0346,-15.9441,2.527e-17,2.120e-17,9.285e-18,71.5755,-443.82
RightDG0530,2.1883,39.0219,1.225e-17,9.237e-18,4.351e-18,41.111,-828.66
RightDG0531,2.2508,38.9648,1.175e-17,9.637e-18,4.612e-18,45.8077,-828.85
RightDG0532,2.3321,39.0811,1.134e-17,9.754e-18,4.396e-18,43.8465,-828.85
RightDG0533,2.3244,39.0785,1.139e-17,9.740e-18,4.941e-18,67.9626,-828.9
RightDG0619,12.0445,27.6695,1.118e-16,8.033e-17,2.801e-17,212.7513,-474.99
RightDG0620,12.3295,28.5029,4.270e-17,2.978e-17,1.519e-17,110.0045,-474.59
RightDG0621,10.9630,27.5130,3.698e-17,3.055e-17,1.304e-17,83.0765,-474.76
RightDG0622,11.9476,28.1849,3.669e-17,2.713e-17,1.228e-17,88.0927,-474.98
RightDG0623,13.1258,28.0728,4.062e-17,3.505e-17,1.446e-17,104.7623,-474.66
RightDG0624,11.8040,26.9061,4.073e-17,3.539e-17,1.515e-17,106.7645,-474.96
RightDG0625,12.1949,27.8660,2.763e-17,2.052e-17,9.818e-18,218.6631,-474.83
RightDG0626,12.7251,27.2266,3.864e-17,2.968e-17,1.442e-17,109.3009,-474.99
RightDG0627,12.5445,27.7802,3.831e-17,3.328e-17,1.325e-17,78.8914,-474.95
RightDG0628,12.7174,26.7554,3.570e-17,3.081e-17,1.437e-17,80.9612,-474.84
RightDG0629,12.1367,28.8781,3.775e-17,3.044e-17,1.250e-17,83.4194,-474.98
RightDG0630,13.2307,28.1346,3.620e-17,3.152e-17,1.322e-17,87.4924,-474.79
RightDG0631,12.5594,28.2032,3.004e-17,2.355e-17,1.060e-17,168.3278,-474.66
RightDG0632,12.1089,28.6496,6.037e-17,4.576e-17,1.649e-17,96.211,-474.67
RightDG0633,11.1326,28.6585,3.848e-17,2.795e-17,1.300e-17,81.5002,-474.96
RightDG0634,12.0789,27.5907,5.516e-17,4.597e-17,1.811e-17,100.603,-474.93
RightDG0635,12.7672,28.8661,3.433e-17,3.242e-17,1.462e-17,103.1012,-474.95
RightDG0636,11.5079,27.9072,3.889e-17,3.121e-17,1.492e-17,87.4032,-474.73
RightDG0637,11.5605,27.9103,2.615e-17,2.068e-17,1.024e-17,150.8384,-474.65
RightDG0638,12.4250,26.7716,4.202e-17,3.393e-17,1.346e-17,104.1545,-475.08
RightDG0639,12.4120,28.0385,3.089e-17,2.581e-17,1.161e-17,153.7948,-474.98
RightDG0640,12.1588,29.2731,3.929e-17,3.396e-17,1.652e-17,104.379,-474.89
RightDG0641,11.5952,27.2800,4.200e-17,3.254e-17,1.462e-17,105.5399,-474.95
RightDG0642,11.2616,26.2740,3.990e-17,3.235e-17,1.260e-17,92.0559,-474.59
RightDG0643,10.8849,27.8198,4.542e-17,3.488e-17,1.643e-17,100.128,-474.93
RightDG0644,11.5902,27.2465,4.007e-17,3.379e-17,1.525e-17,120.1531,-474.74
RightDG0645,12.8308,27.1875,4.133e-17,3.266e-17,1.475e-17,106.4467,-474.54
RightDG0646,12.7885,28.4849,4.149e-17,3.336e-17,1.439e-17,82.4122,-474.98
RightDG0647,11.7633,27.7184,2.721e-17,2.093e-17,9.550e-18,105.9827,-474.68
RightDG0648,11.9504,26.6680,3.427e-17,3.227e-17,1.497e-17,94.3647,-474.85
RightDG0649,12.9196,28.1198,3.577e-17,3.188e-17,1.457e-17,87.7085,-474.77
RightDG0650,11.6589,28.2406,4.244e-17,3.383e-17,1.617e-17,85.4322,-474.62
RightDG0651,12.9552,27.2345,2.615e-17,2.428e-17,9.782e-18,99.644,-474.85
RightDG0652,12.8652,27.2910,3.717e-17,3.165e-17,1.364e-17,105.0707,-474.78
RightDG0653,12.3872,27.4229,3.933e-17,2.996e-17,1.382e-17,86.3574,-474.63
RightDG0654,11.8932,26.4142,2.688e-17,2.285e-17,9.344e-18,89.6924,-474.85
RightDG0655,12.2253,27.8515,3.263e-17,2.474e-17,1.038e-17,158.288,-474.66
RightDG0656,12.6906,27.8912,3.614e-17,2.787e-17,1.328e-17,90.5729,-475.03
RightDG0657,12.1143,27.7225,2.782e-17,2.192e-17,9.457e-18,103.0042,-474.85
RightDG0658,11.7624,29.1686,4.317e-17,3.716e-17,1.651e-17,98.4723,-474.76
RightDG0659,12.2335,27.2682,4.108e-17,3.580e-17,1.767e-17,104.7618,-474.71
RightDG0744,18.8950,23.5268,1.100e-17,9.990e-18,4.336e-18,45.0977,-631.15
RightDG0745,18.8710,23.4279,1.603e-17,1.298e-17,5.627e-18,54.0883,-631.09
RightDG0753,27.0444,37.6963,9.877e-18,8.540e-18,3.701e-18,66.6162,-742.63
RightDG0803,4.8590,21.8317,7.874e-18,7.141e-18,3.131e-18,48.569,-896.87
RightDG0804,4.9713,21.8270,8.163e-18,6.528e-18,3.122e-18,57.3263,-897.02
RightDG0805,4.8748,21.9032,1.277e-17,1.016e-17,4.916e-18,51.7507,-897.09
RightDG0806,-21.5469,11.7976,4.376e-17,3.108e-17,1.125e-17,133.9625,-734.02
RightDG0807,-21.7755,11.9350,1.461e-17,1.252e-17,4.996e-18,38.6484,-733.64
RightDG0808,-21.7906,11.9313,1.473e-17,1.174e-17,5.146e-18,53.4092,-734.28
RightDG0809,-21.4618,11.8407,1.552e-17,1.453e-17,6.221e-18,59.5791,-733.96
RightDG0810,-21.3871,11.6272,1.564e-17,1.323e-17,6.093e-18,64.726,-733.94
RightDG0811,-21.4072,11.6492,1.450e-17,1.279e-17,4.771e-18,49.4753,-733.93
RightDG0812,-21.4578,11.6209,1.570e-17,1.278e-17,6.206e-18,59.127,-734.06
RightDG0813,-21.2821,11.6454,1.474e-17,1.223e-17,5.952e-18,48.4086,-733.85
RightDG0814,-21.8472,11.8605,2.149e-17,1.686e-17,7.146e-18,55.7918,-733.88
RightDG0815,-21.7488,11.7545,1.437e-17,1.142e-17,5.780e-18,50.8221,-734.11
RightDG0816,-21.7312,11.9633,2.327e-17,1.640e-17,6.981e-18,50.6113,-733.74
RightDG0817,-21.3983,11.7061,1.440e-17,1.125e-17,5.237e-18,48.992,-733.87
RightDG0818,-21.4516,11.5995,1.550e-17,1.323e-17,5.444e-18,64.2219,-733.99
