Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?
RightS025794,-26.4775,-12.4657,2.052e-19,2.223e-19,1.887e-19,-0.001,-47.42,0
RightS025798,-26.4750,-12.4582,2.130e-20,2.786e-20,3.636e-20,0.0,-47.58,0
RightS025801,-26.4691,-12.2703,1.569e-19,1.677e-19,1.391e-19,-0.0,-48.66,0
RightS025805,-26.5121,-12.4280,7.501e-19,1.334e-18,3.087e-18,0.0,-48.18,0
RightS025809,-26.4819,-12.4302,3.092e-20,3.828e-20,4.436e-20,-0.001,-48.46,0
RightS025814,-26.5581,-12.3943,8.143e-20,9.059e-20,7.927e-20,0.0,-48.21,0
RightS025823,-26.5454,-12.3604,5.595e-20,6.399e-20,6.113e-20,0.0,-48.32,0
RightS025825,-26.4339,-12.4348,1.217e-18,1.199e-18,8.284e-19,-0.0,-48.19,0
RightS025828,-26.5009,-12.4210,9.588e-19,1.660e-18,3.761e-18,0.001,-48.53,0
RightS025830,-26.6630,-12.4662,6.572e-19,6.877e-19,5.343e-19,-0.0,-47.74,0
RightS025834,-26.4997,-12.4540,3.711e-19,3.972e-19,3.204e-19,-0.0,-47.18,0
RightS025835,-26.6198,-12.3608,5.259e-20,6.420e-20,6.831e-20,-0.0,-48.12,0
RightS025840,-26.4901,-12.4536,1.169e-19,1.256e-19,1.066e-19,-0.0,-47.43,0
RightS025843,-26.4208,-12.3031,1.125e-20,1.585e-20,2.296e-20,0.0,-48.61,0
RightS025845,-26.4859,-12.4366,4.232e-20,4.926e-20,5.063e-20,-0.0,-48.03,0
RightS025847,-26.4508,-12.4897,1.184e-20,1.475e-20,1.712e-20,0.0,-47.51,0
RightS025849,-26.4899,-12.3958,2.164e-18,3.255e-18,5.188e-18,-0.0,-48.8,0
RightS025851,-26.5026,-12.4174,5.466e-14,4.020e-14,1.599e-14,-0.001,-48.47,0
RightS025854,-26.4650,-12.4363,3.719e-19,3.815e-19,2.779e-19,0.001,-48.01,0
RightS025855,-26.4946,-12.4369,2.517e-20,3.187e-20,3.750e-20,0.001,-49.9,0
RightS025858,-26.4615,-12.4392,1.562e-18,1.404e-18,8.108e-19,-0.0,-48.07,0
RightS025864,-26.4972,-12.6165,1.046e-20,1.430e-20,1.879e-20,0.001,-47.33,0
RightS025866,-26.4938,-12.4198,3.175e-19,3.308e-19,2.572e-19,0.001,-48.7,0
RightS025867,-26.4649,-12.4615,9.652e-20,1.018e-19,8.386e-20,-0.0,-47.46,0
RightS025868,-26.5428,-12.4164,2.104e-20,2.653e-20,3.073e-20,0.0,-48.08,0
RightS025870,-26.4933,-12.4309,2.437e-19,2.570e-19,2.052e-19,-0.0,-48.6,0
RightS025871,-26.4985,-12.4395,9.900e-19,1.544e-18,2.882e-18,0.0,-47.24,0
RightS025876,-26.4558,-12.4716,1.026e-17,7.973e-18,3.535e-18,-0.0,-47.6,0
RightS025880,-26.5471,-12.4689,2.638e-19,2.625e-19,1.865e-19,0.0,-47.34,0
RightS025891,-26.5184,-12.4492,1.572e-18,3.314e-18,1.106e-17,0.0,-47.44,0
RightS025895,-26.4547,-12.4255,9.604e-18,7.797e-18,3.625e-18,-0.001,-48.25,0
RightS025900,-26.4651,-12.4136,2.093e-18,3.780e-18,9.568e-18,-0.0,-48.37,0
RightS025901,-26.4943,-12.4320,1.320e-13,9.934e-14,4.047e-14,-0.0,-48.62,0
RightS025904,-26.4929,-12.4419,1.731e-20,2.177e-20,2.550e-20,-0.0,-47.27,0
RightS025905,-26.5299,-12.3707,1.978e-19,2.051e-19,1.598e-19,-0.001,-48.42,0
RightS025909,-26.4850,-12.4006,2.863e-20,3.804e-20,4.794e-20,-0.0,-48.82,0
RightS025910,-26.6698,-12.5041,4.253e-18,8.572e-18,2.682e-17,0.0,-47.49,0
RightS025911,-26.4954,-12.5056,9.137e-19,8.444e-19,5.082e-19,-0.0,-47.29,0
RightS025912,-26.4921,-12.4786,1.071e-13,8.533e-14,3.937e-14,-0.0,-47.18,1
RightS025917,-26.5104,-12.4841,3.389e-19,3.548e-19,2.713e-19,0.001,-47.14,0
RightS025918,-26.3887,-12.4570,8.039e-20,8.814e-20,7.692e-20,0.0,-47.91,0
RightS025922,-26.4738,-12.4267,4.946e-18,4.089e-18,2.004e-18,0.001,-48.54,0
RightS025925,-26.4899,-12.4226,7.133e-19,6.717e-19,4.325e-19,-0.0,-48.63,0
RightS025926,-26.5480,-12.4117,1.309e-19,1.370e-19,1.088e-19,0.0,-48.13,0
RightS025929,-26.5791,-12.4390,1.760e-20,2.189e-20,2.479e-20,0.0,-47.77,0
RightS025932,-26.5054,-12.4418,4.780e-20,5.866e-20,6.393e-20,-0.0,-47.61,0
RightS025937,-26.4985,-12.4398,2.219e-18,3.667e-18,7.239e-18,0.001,-47.42,0
RightS025938,-26.5463,-12.3956,4.487e-20,5.389e-20,5.519e-20,0.0,-48.17,0
RightS025944,-26.4974,-12.4388,2.181e-19,2.270e-19,1.785e-19,-0.001,-47.59,0
RightS025945,-26.5427,-12.4713,3.512e-18,7.130e-18,2.126e-17,-0.0,-47.38,0
RightS025948,-26.5622,-12.5294,1.489e-20,2.024e-20,2.701e-20,-0.0,-47.22,0
RightS025949,-26.4299,-12.5216,7.239e-20,7.931e-20,6.886e-20,0.0,-47.52,0
RightS025952,-26.3688,-12.3644,1.071e-19,1.244e-19,1.230e-19,0.0,-48.4,0
RightS025955,-26.5033,-12.4382,1.194e-20,1.574e-20,2.018e-20,0.001,-47.68,0
RightS025957,-26.5028,-12.4351,2.935e-14,2.068e-14,7.391e-15,-0.0,-47.92,0
RightS025962,-26.5197,-12.4392,4.518e-19,4.419e-19,2.985e-19,-0.001,-47.67,0
RightS025965,-26.4932,-12.4377,1.586e-18,3.164e-18,9.982e-18,0.001,-47.78,0
RightS025968,-26.5010,-12.4430,1.072e-17,8.598e-18,4.043e-18,-0.001,-47.33,0
RightS025971,-26.4484,-12.4193,6.961e-20,8.030e-20,7.947e-20,0.0,-48.31,0
RightS025975,-26.4969,-12.4348,8.995e-19,8.637e-19,5.631e-19,0.0,-48.43,0
RightS025979,-26.4961,-12.4375,1.064e-20,1.436e-20,1.895e-20,-0.0,-47.92,0
RightS025980,-26.5256,-12.4836,1.062e-13,9.112e-14,4.957e-14,0.001,-47.25,1
RightS025983,-26.5026,-12.4391,5.112e-20,6.213e-20,6.577e-20,0.0,-47.5,0
RightS025987,-26.5699,-12.4438,3.462e-17,9.883e-17,6.350e-16,0.0,-47.76,0
RightS025989,-26.4548,-12.4607,5.189e-19,4.941e-19,3.182e-19,-0.0,-47.67,0
RightS025993,-26.4308,-12.4757,1.051e-20,1.451e-20,2.036e-20,0.0,-47.73,0
RightS025997,-26.5075,-12.4363,1.340e-18,1.963e-18,3.179e-18,-0.001,-47.81,0
RightS026001,-26.4704,-12.4839,4.374e-20,5.216e-20,5.468e-20,0.0,-47.38,0
RightS026005,-26.4795,-12.4182,1.763e-20,2.199e-20,2.605e-20,-0.0,-48.54,0
RightS026011,-26.5025,-12.4333,6.302e-20,7.154e-20,6.730e-20,0.0,-48.29,0
RightS026013,-26.4921,-12.4360,1.426e-20,1.819e-20,2.237e-20,0.001,-48.6,0
RightS026014,-26.4959,-12.4429,5.163e-14,5.023e-14,3.446e-14,0.0,-47.19,1
RightS026018,-26.4798,-12.4360,5.554e-20,6.382e-20,5.974e-20,0.001,-48.15,0
RightS026019,-26.4499,-12.4852,7.260e-20,8.216e-20,7.534e-20,-0.0,-47.52,0
