Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?
TopS104838,10.1011,44.8945,4.431e-19,6.163e-19,8.655e-19,0.0,5.98,0
TopS104852,9.9151,44.7951,4.026e-16,3.432e-16,1.821e-16,-0.0,5.25,0
TopS104860,9.8802,44.6209,1.563e-15,1.224e-15,5.273e-16,0.0,4.51,0
TopS104865,9.5126,44.7427,3.987e-16,3.183e-16,1.526e-16,0.0,5.01,0
TopS104873,9.8396,44.8225,2.088e-17,2.334e-17,2.142e-17,0.001,4.9,0
TopS104899,9.9630,44.7869,2.406e-17,2.649e-17,2.235e-17,0.002,6.01,0
TopS104904,9.8449,44.8492,1.535e-16,1.470e-16,9.561e-17,0.0,6.35,0
TopS104908,10.1156,44.9507,1.438e-15,1.067e-15,4.232e-16,-0.0,4.75,0
TopS104909,9.9062,44.9530,4.792e-12,3.222e-12,1.080e-12,-0.0,6.57,0
TopS104922,9.8332,44.5417,5.095e-17,5.190e-17,3.880e-17,0.001,5.5,0
TopS104926,10.0108,44.8054,1.536e-17,1.657e-17,1.339e-17,-0.0,4.55,0
TopS104951,10.1600,44.8394,3.196e-16,2.793e-16,1.474e-16,0.0,5.87,0
TopS104960,9.7174,44.9855,1.354e-12,1.945e-12,3.016e-12,0.001,6.01,0
TopS104985,9.7460,44.9122,2.134e-19,3.630e-19,7.951e-19,0.001,4.13,0
TopS104992,10.2289,44.8656,5.664e-18,6.967e-18,7.476e-18,0.0,6.44,0
TopS104993,9.9020,44.7112,3.871e-12,2.699e-12,9.583e-13,-0.0,6.38,0
TopS105013,10.2724,44.7937,2.744e-16,2.439e-16,1.397e-16,-0.0,4.66,0
TopS105039,10.0371,44.9450,1.567e-16,1.386e-16,7.935e-17,0.0,6.54,0
TopS105052,9.9007,44.9411,2.498e-12,1.667e-12,5.498e-13,0.0,4.35,0
TopS105075,9.5877,44.8061,1.556e-16,1.340e-16,7.242e-17,-0.0,5.88,0
TopS105088,9.9314,44.9196,2.630e-18,3.464e-18,4.402e-18,0.001,4.82,0
TopS105166,9.6765,44.9489,1.694e-18,2.195e-18,2.600e-18,0.001,4.77,0
TopS105203,9.8197,44.8811,7.879e-17,7.843e-17,5.690e-17,0.0,6.46,0
TopS105204,9.7544,44.7770,1.515e-20,3.083e-20,9.653e-20,0.0,6.62,0
TopS105227,9.7574,44.8155,1.006e-17,1.128e-17,1.035e-17,0.0,4.73,0
TopS105242,9.6288,44.8208,4.779e-18,5.881e-18,6.588e-18,-0.0,5.41,0
TopS105243,9.5701,44.8890,2.688e-18,3.586e-18,4.808e-18,-0.0,5.68,0
TopS105271,11.7818,44.5980,4.440e-19,6.408e-19,1.012e-18,0.001,6.36,0
